latitude,longitude,altitude,building_age,population_density_x,wind_speed,wind_direction,river_water_level,river_discharge,drainage_system,elevation,slope,population_density_y,safe_camp_earthquake,safe_camp_flood
8.3278,77.0972,midland (50m),old (20-50 years),medium,4.5,W,2.6,472.7,poor,77.63986584,17.91711484,low,0,0
8.3281,77.0974,lowland (10m),new (<20 years),low,0.4,W,9.8,302.6,moderate,72.86586537,29.89308624,medium,0,0
8.3282,77.0765,highland (150m),old (20-50 years),medium,5.2,E,7.9,242.6,good,76.828412,4.020820857,low,0,0
8.3283,77.0974,lowland (10m),old (20-50 years),low,2.3,W,5.2,139.4,poor,22.43931941,33.67111266,low,0,0
8.3285,77.097,midland (50m),old (20-50 years),high,3.0,W,8.7,253.7,good,93.33182725,10.54793626,low,0,0
8.3286,77.0972,lowland (10m),new (<20 years),high,7.9,N,8.1,227.3,moderate,63.85637237,13.50718703,high,0,0
8.3289,77.0964,highland (150m),old (20-50 years),high,4.9,E,2.4,279.7,poor,77.33166769,7.98025034,high,0,0
8.329,77.0542,highland (150m),new (<20 years),high,12.0,SW,4.1,464.2,good,60.13340112,29.29728625,low,0,0
8.329,77.0976,highland (150m),new (<20 years),low,6.0,W,6.3,271.6,poor,62.35101109,9.769701576,medium,1,0
8.3292,77.0964,lowland (10m),old (20-50 years),high,6.8,S,5.8,311.9,poor,32.32151786,41.82467777,medium,0,0
8.3292,77.0981,lowland (10m),old (20-50 years),medium,14.7,E,8.4,62.7,poor,80.98825634,43.48462196,medium,0,0
8.3295,77.0971,lowland (10m),new (<20 years),high,7.2,NW,2.5,492.7,moderate,85.26412533,39.38586639,low,0,0
8.3296,77.0511,midland (50m),old (20-50 years),medium,8.5,W,6.3,46.5,poor,32.50285023,36.09833477,high,0,0
8.33,77.051,lowland (10m),new (<20 years),low,7.1,SE,5.1,61.8,poor,68.19137425,16.31547728,medium,0,0
8.33,77.0545,lowland (10m),new (<20 years),low,13.0,E,3.9,337.5,moderate,41.30459692,11.76766743,low,1,0
8.3301,77.0555,highland (150m),old (20-50 years),low,3.9,SE,1.2,392.9,poor,80.58370151,8.710080577,medium,0,0
8.3303,77.0621,midland (50m),old (20-50 years),low,13.7,E,10.0,359.5,moderate,26.99499515,1.373949809,high,0,0
8.3304,77.0625,highland (150m),new (<20 years),high,3.9,S,6.0,384.0,poor,88.29494721,18.23313154,low,0,0
8.3306,77.0614,midland (50m),new (<20 years),high,0.3,SW,4.4,308.6,poor,17.56254333,12.73973614,high,0,0
8.3312,77.0516,highland (150m),old (20-50 years),high,13.6,SE,1.2,88.3,moderate,31.15109614,28.20971532,medium,0,0
8.332,77.0523,highland (150m),old (20-50 years),low,14.9,S,2.3,288.9,moderate,8.315658954,1.875921025,high,0,0
8.332,77.0527,midland (50m),old (20-50 years),medium,1.0,N,7.0,376.8,moderate,15.79896995,6.124285856,low,0,0
8.3322,77.0758,midland (50m),new (<20 years),low,10.4,N,3.4,215.0,poor,42.88523384,8.647158552,low,1,0
8.333,77.0543,midland (50m),new (<20 years),medium,4.1,S,1.6,1.7,good,81.80898509,31.54919351,medium,0,0
8.3331,77.0514,midland (50m),new (<20 years),high,8.6,S,6.3,341.1,poor,54.80663048,35.49345755,high,0,0
8.3332,77.0764,lowland (10m),new (<20 years),medium,11.9,NW,9.9,320.3,poor,19.1030371,28.09554633,low,0,0
8.3333,77.0585,midland (50m),old (20-50 years),high,5.4,S,8.3,434.7,poor,61.99202361,37.05740088,medium,0,0
8.3335,77.0567,highland (150m),old (20-50 years),medium,7.4,NE,9.9,67.3,poor,53.89085006,30.2118666,high,0,0
8.3337,77.0534,highland (150m),new (<20 years),medium,14.1,S,2.9,181.9,poor,65.19108325,10.19171492,medium,0,0
8.3339,77.0499,lowland (10m),new (<20 years),medium,10.7,S,7.7,402.1,good,35.4099099,0.697757702,medium,0,0
8.334,77.0531,midland (50m),new (<20 years),low,1.2,N,8.9,427.9,poor,29.71056393,1.860569403,low,1,0
8.3343,77.0622,midland (50m),new (<20 years),medium,4.3,W,2.8,417.7,moderate,36.03985629,39.21152849,low,0,0
8.3344,77.0529,midland (50m),old (20-50 years),low,13.7,NW,5.7,435.9,good,52.24728782,30.92318593,high,0,0
8.3344,77.0603,highland (150m),new (<20 years),high,6.6,E,4.8,375.3,moderate,81.28763612,26.3371032,low,0,0
8.3346,77.0537,highland (150m),old (20-50 years),medium,14.2,NE,9.5,439.6,poor,83.60387804,44.07575333,high,0,0
8.3357,77.0518,lowland (10m),new (<20 years),low,13.7,S,2.3,472.8,good,40.09273953,18.84762268,medium,0,0
8.3358,77.0596,lowland (10m),old (20-50 years),high,7.0,SW,2.8,186.0,moderate,7.997404955,34.31873788,high,0,0
8.3358,77.0753,highland (150m),new (<20 years),high,3.1,NE,3.1,39.2,moderate,30.38163262,18.86375208,low,0,0
8.336,77.0501,highland (150m),old (20-50 years),low,2.7,W,2.9,475.9,good,71.99021447,4.411023055,high,0,0
8.336,77.059,lowland (10m),new (<20 years),low,3.8,SE,9.8,161.8,moderate,9.44090882,21.63066281,medium,0,0
8.3361,77.0599,midland (50m),new (<20 years),low,4.8,SE,4.4,330.2,poor,60.69608251,11.97601729,low,1,0
8.3362,77.0589,highland (150m),old (20-50 years),low,8.0,NW,6.9,371.4,good,51.8504639,35.40398259,high,0,0
8.3365,77.0628,highland (150m),old (20-50 years),low,0.5,S,2.8,178.9,moderate,7.445375775,37.04039616,low,0,0
8.3367,77.0593,lowland (10m),old (20-50 years),low,6.8,S,7.7,318.8,good,85.89022622,11.40373603,high,0,0
8.3367,77.0597,midland (50m),old (20-50 years),medium,2.4,SE,1.7,114.0,moderate,41.01592384,13.8592981,medium,0,0
8.3368,77.0517,midland (50m),new (<20 years),high,3.1,SE,7.8,36.3,poor,17.0478669,1.413894974,medium,0,0
8.3369,77.0516,midland (50m),new (<20 years),low,14.2,SE,6.8,493.5,moderate,70.39366917,33.72714011,high,0,0
8.3371,77.0509,highland (150m),new (<20 years),low,13.0,NW,2.9,198.7,poor,83.07181955,16.922525,low,0,0
8.3372,77.0517,highland (150m),old (20-50 years),medium,5.0,NE,1.5,342.9,moderate,82.60972312,41.72328528,high,0,0
8.3372,77.0525,midland (50m),old (20-50 years),low,4.0,NE,9.7,458.8,poor,71.30392557,31.97645896,medium,0,0
8.3373,77.0501,highland (150m),new (<20 years),medium,13.2,W,5.0,23.8,good,48.28885608,17.44165625,medium,0,0
8.3373,77.0502,highland (150m),new (<20 years),low,12.6,NW,0.8,119.5,poor,52.96661267,5.833060046,medium,1,0
8.3373,77.0515,midland (50m),old (20-50 years),low,2.7,S,1.7,456.1,poor,92.77060469,36.51765811,high,0,0
8.3374,77.0686,midland (50m),old (20-50 years),low,12.8,N,7.2,103.5,poor,31.15400387,37.84049524,high,0,0
8.3376,77.0491,midland (50m),new (<20 years),high,9.1,SW,3.8,250.8,moderate,90.46806747,22.46018428,medium,0,0
8.3376,77.0541,lowland (10m),old (20-50 years),high,2.2,E,9.7,9.8,good,81.64458902,36.3937577,high,0,0
8.3377,77.0525,highland (150m),new (<20 years),low,12.5,SW,2.5,150.4,good,51.63234947,13.88320727,low,1,0
8.3379,77.0487,midland (50m),old (20-50 years),low,3.4,SW,8.0,94.4,moderate,93.53915033,4.194329653,medium,0,0
8.3384,77.0497,lowland (10m),new (<20 years),medium,13.9,SW,8.9,253.0,poor,65.3978267,19.94591439,high,0,0
8.3384,77.0572,midland (50m),new (<20 years),high,5.9,SW,5.2,197.1,poor,30.69802219,26.89771582,low,0,0
8.3384,77.0635,highland (150m),old (20-50 years),high,4.0,SW,6.4,182.6,poor,71.79991596,17.74017082,high,0,0
8.3385,77.0547,midland (50m),new (<20 years),low,7.3,NW,0.4,151.6,good,17.39122442,1.272405232,medium,1,0
8.3385,77.0631,lowland (10m),new (<20 years),medium,0.6,NE,4.3,360.7,moderate,11.11217879,26.71567368,high,0,0
8.3386,77.1663,lowland (10m),new (<20 years),low,8.6,W,1.1,355.4,poor,91.97181186,22.40786368,low,0,0
8.3392,77.061,midland (50m),old (20-50 years),low,3.3,SW,2.3,341.6,moderate,14.81927182,6.07003755,medium,0,0
8.3395,77.166,highland (150m),old (20-50 years),high,6.8,SW,8.2,308.4,moderate,99.27339886,14.81001238,low,0,0
8.3396,77.0599,midland (50m),new (<20 years),low,8.7,NW,3.2,208.4,poor,61.69872832,6.251724601,low,1,0
8.3396,77.0634,highland (150m),old (20-50 years),medium,11.0,SE,6.6,409.3,moderate,18.9848652,22.72068666,medium,0,0
8.3396,77.1659,highland (150m),old (20-50 years),medium,6.9,E,3.8,203.4,good,22.10685003,18.27524198,low,0,0
8.3397,77.0465,lowland (10m),old (20-50 years),low,8.4,NW,8.4,122.5,moderate,76.94824975,17.55300695,high,0,0
8.3397,77.0618,midland (50m),old (20-50 years),medium,5.3,S,4.4,358.8,moderate,57.60588178,8.329867591,low,0,0
8.3397,77.0623,midland (50m),old (20-50 years),medium,10.5,N,9.2,168.6,poor,64.7421228,3.341613756,medium,0,0
8.3397,77.0634,highland (150m),old (20-50 years),low,3.8,N,6.8,74.9,good,27.82525753,33.8364843,medium,0,0
8.3397,77.1656,lowland (10m),new (<20 years),medium,8.7,N,6.5,94.9,poor,57.0405874,36.42129575,low,0,0
8.3398,77.0633,highland (150m),new (<20 years),medium,6.2,NW,2.9,297.5,moderate,37.42108143,15.140061,low,0,0
8.34,77.0551,lowland (10m),old (20-50 years),high,9.3,E,5.1,199.0,moderate,53.18249317,16.85485326,medium,0,0
8.34,77.0589,lowland (10m),new (<20 years),low,13.0,NE,7.8,106.0,poor,77.80083397,23.76325636,low,0,0
8.34,77.063,lowland (10m),old (20-50 years),high,12.2,S,4.3,322.9,poor,58.76950507,42.40339061,medium,0,0
8.3402,77.0544,highland (150m),old (20-50 years),medium,12.0,NW,6.5,304.5,moderate,29.76287594,36.21489639,high,0,0
8.3402,77.1534,highland (150m),old (20-50 years),high,6.3,W,1.1,415.6,good,20.4622569,39.11942823,high,0,0
8.3402,77.1556,midland (50m),old (20-50 years),medium,10.1,W,7.5,289.8,poor,10.9885977,17.87034126,low,0,0
8.3404,77.1539,lowland (10m),new (<20 years),medium,6.2,E,9.7,403.6,poor,44.33018325,12.63442561,medium,0,0
8.3404,77.1575,highland (150m),new (<20 years),low,12.5,SW,1.1,70.0,moderate,54.62485916,32.69329071,low,0,0
8.3405,77.153,lowland (10m),new (<20 years),low,8.2,SE,6.3,149.6,good,77.86802366,44.37163701,medium,0,0
8.3405,77.158,lowland (10m),old (20-50 years),medium,9.9,S,2.0,324.9,good,45.98349208,32.3526902,low,0,0
8.3406,77.1566,midland (50m),new (<20 years),high,9.4,E,8.5,207.1,moderate,33.61450453,37.50371978,medium,0,0
8.3407,77.1547,midland (50m),old (20-50 years),medium,5.2,SE,1.8,19.9,moderate,57.61383621,1.962988298,medium,0,0
8.3407,77.1566,midland (50m),old (20-50 years),low,14.2,S,7.3,474.3,moderate,96.1896432,5.138334338,low,0,0
8.3407,77.1584,lowland (10m),old (20-50 years),high,0.9,E,0.9,14.8,good,59.33148171,25.18116297,medium,0,0
8.3408,77.156,highland (150m),old (20-50 years),high,12.1,S,8.2,185.3,poor,52.21417652,29.97134866,high,0,0
8.3408,77.1566,highland (150m),new (<20 years),medium,4.2,NW,9.2,88.6,good,72.84029239,20.95610917,low,0,0
8.3409,77.0407,midland (50m),new (<20 years),medium,9.7,W,1.3,73.3,good,63.60498386,28.90747093,low,0,0
8.3409,77.0413,midland (50m),new (<20 years),low,2.4,S,8.4,112.4,moderate,97.07458739,19.76596832,low,0,0
8.3409,77.1551,midland (50m),new (<20 years),high,2.2,N,6.2,383.6,good,94.99368763,2.239393273,high,0,0
8.3409,77.1566,highland (150m),old (20-50 years),medium,12.7,NW,1.4,438.7,poor,23.18219482,15.27023384,high,0,0
8.341,77.047,lowland (10m),new (<20 years),low,14.5,SW,4.6,371.5,moderate,64.50861061,19.14763911,high,0,0
8.341,77.1531,midland (50m),old (20-50 years),high,4.2,W,7.2,390.7,moderate,84.88680526,43.64523935,low,0,0
8.341,77.1533,midland (50m),old (20-50 years),low,14.3,SE,1.9,89.4,poor,91.6310912,41.77612062,medium,0,0
8.3411,77.0385,highland (150m),old (20-50 years),medium,6.8,E,6.3,104.4,poor,27.34965925,1.233229524,low,0,0
8.3411,77.0414,midland (50m),old (20-50 years),high,5.8,NW,5.0,69.7,good,53.42600679,42.31364342,medium,0,0
8.3411,77.1547,midland (50m),old (20-50 years),low,9.3,W,4.0,185.8,good,37.29552083,18.87133599,low,0,0
8.3412,77.1533,highland (150m),old (20-50 years),low,1.0,N,8.2,244.0,good,40.50058285,4.387727638,high,0,0
8.3412,77.1541,midland (50m),new (<20 years),high,10.8,N,0.5,3.7,moderate,40.10763739,15.62414629,medium,0,0
8.3412,77.1564,midland (50m),new (<20 years),high,9.7,SE,9.5,117.0,poor,62.34703492,6.064114924,low,0,0
8.3412,77.1571,midland (50m),old (20-50 years),low,5.5,NW,3.6,427.9,good,8.202625602,38.98597824,low,0,0
8.3413,77.156,lowland (10m),old (20-50 years),low,5.6,E,0.1,214.6,moderate,42.8602286,18.78935602,medium,0,0
8.3413,77.1564,lowland (10m),old (20-50 years),medium,8.8,NW,0.9,370.5,good,82.50032602,37.91763905,high,0,0
8.3413,77.1566,midland (50m),new (<20 years),low,10.4,N,3.4,112.0,good,18.83170227,1.067480191,medium,1,0
8.3415,77.1565,midland (50m),old (20-50 years),low,11.9,W,1.7,312.6,good,8.990434618,40.76203279,medium,0,0
8.3416,77.0509,lowland (10m),new (<20 years),medium,12.9,S,0.3,56.9,good,55.62821661,33.68943018,medium,0,0
8.3416,77.1542,highland (150m),old (20-50 years),high,13.3,SW,1.2,105.7,good,55.6980077,13.22817344,medium,0,0
8.3418,77.1542,lowland (10m),new (<20 years),high,13.0,SE,5.9,98.3,good,79.72302825,40.12854895,high,0,0
8.3418,77.1557,lowland (10m),old (20-50 years),low,1.5,S,9.4,184.8,poor,76.30003125,42.93528717,medium,0,0
8.3419,77.1553,highland (150m),old (20-50 years),high,2.7,NW,0.1,81.2,moderate,16.18839257,15.62362249,low,0,0
8.342,77.0631,highland (150m),old (20-50 years),low,14.8,W,0.9,471.6,poor,35.32942544,6.762529602,medium,0,0
8.342,77.1546,highland (150m),new (<20 years),medium,3.3,W,8.1,92.3,poor,15.23628241,36.52384481,medium,0,0
8.342,77.1548,lowland (10m),new (<20 years),medium,12.5,N,4.5,149.9,moderate,65.34634249,1.020219187,medium,0,0
8.342,77.1551,highland (150m),old (20-50 years),low,3.4,S,5.5,264.5,good,11.78298454,9.381739509,high,0,0
8.342,77.1552,highland (150m),old (20-50 years),low,11.1,NE,7.1,240.2,poor,64.12815437,42.7003146,medium,0,0
8.342,77.1615,lowland (10m),new (<20 years),low,1.9,E,7.2,223.6,moderate,58.45731994,13.52887864,high,1,0
8.3421,77.154,highland (150m),old (20-50 years),low,12.5,W,0.2,45.6,moderate,38.77837558,21.1170294,low,0,0
8.3421,77.1544,lowland (10m),old (20-50 years),high,3.7,SW,4.7,480.8,moderate,56.74565125,7.906685454,medium,0,0
8.3421,77.1546,highland (150m),new (<20 years),medium,10.3,N,7.2,35.2,good,31.73164289,30.60722305,high,0,0
8.3421,77.1553,midland (50m),old (20-50 years),low,4.0,NE,8.5,9.8,good,70.42784609,14.29343799,medium,0,0
8.3421,77.156,midland (50m),old (20-50 years),high,11.3,S,9.3,276.4,good,20.27823071,30.22562586,low,0,0
8.3422,77.0595,midland (50m),old (20-50 years),high,6.0,E,8.2,275.2,good,40.00393197,18.45515607,medium,0,0
8.3422,77.1539,midland (50m),old (20-50 years),medium,10.7,N,6.8,103.7,poor,31.98853048,15.5157627,medium,0,0
8.3422,77.1559,midland (50m),old (20-50 years),medium,11.9,NE,3.9,187.9,good,42.21154905,31.12046197,medium,0,0
8.3423,77.1545,lowland (10m),new (<20 years),medium,7.7,E,5.6,92.0,moderate,86.61024566,7.716289213,low,0,0
8.3423,77.1546,lowland (10m),old (20-50 years),high,10.0,SW,7.8,209.0,poor,70.80542453,35.15223466,high,0,0
8.3423,77.1547,lowland (10m),old (20-50 years),medium,1.6,N,8.3,83.4,good,33.19637782,31.95121319,medium,0,0
8.3423,77.1549,lowland (10m),new (<20 years),high,7.1,SE,5.3,345.6,good,22.54436112,26.0380913,medium,0,0
8.3423,77.1561,highland (150m),new (<20 years),low,7.4,SW,3.0,179.7,poor,91.47798762,44.06747028,high,0,0
8.3424,77.0611,lowland (10m),old (20-50 years),high,3.4,S,7.0,162.2,moderate,26.94964133,12.15809812,low,0,0
