time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,place,type,horizontalError,depthError,magError,magNst
2023-12-18T10:31:29.554Z,33.1609,76.6962,10,4.8,mww,92,51,6.514,0.73,"38 km SSW of Padam, India",earthquake,7.42,1.799,0.098,10
2023-12-18T10:27:11.437Z,33.1492,76.6507,10,4.3,mb,34,152,2.873,0.82,"41 km SSW of Padam, India",earthquake,9.29,1.924,0.142,14
2023-12-18T10:18:52.984Z,33.1836,76.8401,10,5.1,mww,119,32,3.023,0.97,"31 km S of Padam, India",earthquake,2.84,1.76,0.08,15
2023-12-04T19:04:15.283Z,27.8117,87.8388,70.467,4.4,mb,46,111,3.447,0.69,"71 km NW of Gyalshing, India",earthquake,10.51,2.233,0.08,45
2023-11-16T04:04:18.591Z,33.0154,76.2091,16.68,4.2,mb,52,157,2.542,1.23,"46 km E of Bhadarwāh, India",earthquake,8.31,4.993,0.121,23
2023-10-14T21:53:08.277Z,31.8115,79.3974,10,4.3,mb,43,154,5.481,0.6,"140 km N of Joshīmath, India",earthquake,5.54,1.864,0.122,19
2023-10-08T13:37:04.576Z,31.7268,79.3465,10,4.5,mb,34,161,5.471,0.99,"131 km N of Joshīmath, India",earthquake,8.96,1.91,0.131,17
2023-08-09T17:44:20.929Z,32.5435,78.602,14.338,4.7,mb,81,87,7.466,0.53,"137 km NE of Sarāhan, India",earthquake,8.28,4.099,0.055,101
2023-08-05T20:04:11.934Z,30.2183,80.7013,10,4.3,mb,50,145,4.677,0.43,western Xizang-India border region,earthquake,6.21,1.894,0.108,24
2023-07-20T22:39:44.949Z,26.8685,75.8906,10,4.3,mb,37,199,7.129,0.44,"11 km ESE of Jaipur, India",earthquake,9.9,1.99,0.125,18
2023-07-17T16:37:23.404Z,33.1046,76.0979,10,4.2,mb,34,94,2.429,1.07,"38 km ENE of Bhadarwāh, India",earthquake,4.36,1.896,0.121,20
2023-07-10T00:13:43.298Z,33.2711,75.8514,25.38,4.2,mb,30,107,2.192,0.48,"9 km ESE of Kishtwār, India",earthquake,5.51,6.812,0.132,16
2023-07-10T00:08:53.217Z,33.2332,75.9099,27.461,4.9,mb,138,44,2.247,0.66,"15 km SE of Kishtwār, India",earthquake,8.01,4.458,0.052,117
2023-07-07T05:20:53.879Z,31.536,78.3517,10,4.3,mb,29,123,4.78,0.82,"53 km E of Sarāhan, India",earthquake,8.02,1.857,0.147,13
2023-06-17T22:20:24.254Z,33.0208,75.9599,10,4.3,mb,58,99,2.339,0.44,"23 km ENE of Bhadarwāh, India",earthquake,7.97,1.877,0.096,31
2023-06-17T16:25:33.967Z,33.2377,75.9002,10,4.3,mb,32,153,2.238,1.08,"14 km SE of Kishtwār, India",earthquake,7.83,1.663,0.125,18
2023-06-13T20:50:56.444Z,33.0446,75.948,14.274,4.6,mb,145,46,2.323,0.87,"22 km ENE of Bhadarwāh, India",earthquake,8.05,3.773,0.048,138
2023-06-13T08:03:40.348Z,33.1191,75.9074,10,5.2,mww,121,23,2.271,0.79,"23 km NE of Bhadarwāh, India",earthquake,7.16,1.72,0.069,20
2023-05-08T08:58:12.854Z,33.9253,75.0264,10,3.8,mb,16,141,1.489,0.71,"1 km ENE of Awantipur, India",earthquake,7.13,1.969,0.228,5
2023-05-04T04:20:30.480Z,30.5173,79.0377,27.66,4.2,mb,18,166,6.092,0.57,"Uttaranchal, India",earthquake,12.55,5.644,0.264,4
2023-04-12T00:05:08.100Z,26.0018,87.3828,10,4,mb,38,97,2.015,0.6,Nepal-India border region,earthquake,8.95,1.917,0.089,34
2023-02-12T22:45:05.505Z,27.986,88.0003,60.903,4,mb,40,66,2.416,0.81,"73 km NW of Mangan, India",earthquake,9.32,9.377,0.102,26
2022-12-31T19:49:41.613Z,28.7191,76.6286,10,4.1,mb,21,179,5.696,0.57,"Haryana, India",earthquake,9.35,1.929,0.158,13
2022-11-16T16:02:53.870Z,31.8986,76.9792,10,4.4,mb,46,87,3.581,0.56,"13 km WSW of Kulu, India",earthquake,3.67,1.816,0.102,28
2022-11-09T00:57:14.321Z,29.9803,80.2903,22.974,4.4,mb,22,166,4.884,0.63,"26 km WNW of Dh?rchula, India",earthquake,9.97,6.418,0.117,21
2022-11-06T16:28:40.298Z,27.9764,88.2153,10,4,mb,27,66,1.242,0.52,"59 km NNW of Mangan, India",earthquake,9.6,1.911,0.143,13
2022-11-06T03:03:03.944Z,30.7102,78.5669,22.322,4.6,mb,53,100,5.364,0.75,"Uttaranchal, India",earthquake,8.67,1.881,0.098,31
2022-11-01T03:13:53.303Z,23.0012,80.1303,10,4.3,mb,15,125,6.67,0.86,"13 km SE of Barela, India",earthquake,8.08,1.821,0.188,8
2022-10-18T12:09:45.297Z,32.3641,78.6637,10,4.5,mb,77,88,4.711,0.61,"125 km NE of Sar?han, India",earthquake,7.79,1.842,0.077,50
2022-10-13T23:58:22.572Z,23.3661,82.4336,10,4.9,mb,102,42,5.108,0.75,"17 km NW of Baikunthpur, India",earthquake,8.49,1.812,0.048,137
2022-09-19T19:37:15.598Z,34.6823,80.1396,10,4.3,mb,32,80,5.788,0.66,"241 km ENE of Leh, India",earthquake,7.56,1.478,0.188,8
2022-09-19T16:28:27.802Z,34.6729,80.1671,10,4.7,mb,77,68,5.809,0.54,"244 km ENE of Leh, India",earthquake,3.18,1.826,0.059,89
2022-08-24T17:34:21.884Z,33.1509,75.7219,10,4.2,mb,42,156,2.112,0.68,"16 km E of Doda, India",earthquake,8.01,1.838,0.121,19
2022-08-22T20:50:28.977Z,33.2367,75.8439,10,4,mb,33,153,2.192,1.01,"11 km SE of Kishtw?r, India",earthquake,8.14,1.881,0.144,13
2022-08-19T19:42:42.048Z,28.0619,81.1968,10,4.9,mb,114,80,3.621,0.73,"12 km NE of Dhaurahra, India",earthquake,8.51,1.804,0.057,103
2022-07-28T19:26:46.105Z,23.3819,82.5056,9.957,4.7,mb,66,92,5.062,0.69,"14 km NNW of Baikunthpur, India",earthquake,9.74,4.111,0.056,111
2022-07-26T03:12:07.119Z,34.644,80.2097,10,4.2,mb,46,92,7.322,0.7,"247 km ENE of Leh, India",earthquake,5.63,1.849,0.124,18
2022-07-24T07:06:54.744Z,30.7594,78.396,20.888,4,mb,23,169,5.215,0.58,"5 km NW of Uttark?shi, India",earthquake,10.63,3.548,0.184,9
2022-07-11T02:40:01.281Z,23.3845,82.4802,10,4.6,mb,69,85,5.071,0.62,"15 km NNW of Baikunthpur, India",earthquake,10.19,1.863,0.073,56
2022-07-09T00:52:02.519Z,16.9254,75.7188,10,4.5,mb,66,77,9.694,0.57,"Karnataka, India",earthquake,10.91,1.841,0.077,50
2022-06-27T22:49:50.675Z,28.8231,76.6692,10,3.7,mb,14,202,5.624,0.44,"11 km SE of Rohtak, India",earthquake,8,2,0.251,4
2022-05-13T02:16:42.668Z,32.7165,76.2415,10,4.6,mb,19,169,2.661,0.8,"20 km NNE of Chamba, India",earthquake,8.2,2,0.173,11
2022-05-11T04:33:11.628Z,29.9682,80.4219,33.06,4.9,mb,59,100,4.775,0.4,"16 km NW of Dh?rchula, India",earthquake,8.2,3.9,0.044,163
2022-04-09T11:22:33.744Z,30.9544,78.2383,10,4.3,mb,,167,4.992,0.39,"16 km N of Barkot, India",earthquake,5.4,1.9,0.119,20
2022-02-25T07:29:03.263Z,32.3654,76.3939,10,3.6,mb,,173,2.921,0.7,"17 km NNE of Dharamsala, India",earthquake,5.4,2,0.25,4
2022-02-23T04:28:24.354Z,31.4596,77.8709,10,4.2,mb,,130,4.457,0.8,"9 km SE of Sar?han, India",earthquake,7.1,1.9,0.146,13
2022-02-06T05:57:32.293Z,31.5122,78.0555,10,4.2,mb,,137,4.568,0.56,"24 km E of Sar?han, India",earthquake,9.1,1.9,0.118,21
2022-01-24T19:38:59.306Z,29.9803,80.3548,10,4,mb,,129,4.833,0.81,"21 km NW of Dh?rchula, India",earthquake,9.5,1.9,0.106,24
2022-01-22T08:46:23.113Z,17.562,84.9267,10,4.2,mb,,120,10.06,0.89,"132 km SE of Narasannapeta, India",earthquake,8.5,2,0.187,8
2022-01-21T21:23:38.467Z,33.2225,75.9072,10,4.1,mb,,87,2.247,0.94,"16 km SE of Kishtw?r, India",earthquake,7.6,1.9,0.117,20
2022-01-06T18:29:13.484Z,27.8305,82.8074,10,4.4,mb,,105,2.189,1.08,"38 km NNE of Pachperwa, India",earthquake,7.8,2,0.101,28
2022-01-04T17:15:52.331Z,33.0339,76.074,40.06,4.3,mb,,105,2.427,0.77,Kashmir-India border region,earthquake,7.9,7.5,0.09,38
2021-12-29T19:08:19.232Z,29.9056,80.3449,10,4.5,mb,,152,4.809,0.65,"18 km WNW of Dh?rchula, India",earthquake,9,1.9,0.098,30
2021-11-23T16:31:58.690Z,31.3163,77.1736,10,4.3,mb,,97,4.038,0.6,"9 km NNE of Seoni, India",earthquake,9.3,1.9,0.122,19
2021-11-19T20:56:16.978Z,25.1721,72.5323,10,4.4,mb,,68,8.473,0.79,"20 km SSW of Jalor, India",earthquake,9.4,1.9,0.075,55
2021-11-09T10:57:27.886Z,31.9939,78.5517,10,4.6,mb,,84,4.744,0.41,"89 km NE of Sar?han, India",earthquake,6.7,1.8,0.066,69
2021-11-07T16:20:46.399Z,27.271,88.7826,10,4.6,mb,,76,1.878,0.66,"17 km ESE of Gangtok, India",earthquake,6.7,1.8,0.059,89
2021-10-30T16:29:09.837Z,33.2438,76.7582,10,4.2,mb,,80,2.945,1.08,"27 km SSW of Padam, India",earthquake,7.9,1.9,0.11,23
2021-10-26T00:32:08.893Z,33.2123,76.8049,10,4.6,mb,,53,2.989,0.77,"29 km SSW of Padam, India",earthquake,7.4,1.9,0.058,89
2021-10-11T16:24:38.865Z,17.1543,77.0051,10,4.3,mb,,74,10.463,0.62,"7 km ENE of Sh?h?b?d, India",earthquake,14.4,1.9,0.147,16
2021-09-13T03:46:47.551Z,33.7409,76.4233,10,4.3,mb,,141,2.631,0.99,"52 km NW of Padam, India",earthquake,7.2,1.8,0.117,21
2021-09-11T00:28:30.709Z,30.4791,79.282,10,4.7,mb,,81,6.003,0.49,"15 km WNW of P?palkoti, India",earthquake,9.1,1.9,0.057,95
2021-08-24T16:48:13.463Z,32.0551,78.7955,10,4.7,mb,,46,4.915,0.58,"112 km ENE of Sar?han, India",earthquake,8.9,1.8,0.067,72
2021-08-24T07:05:53.043Z,14.4654,83.0456,10,5.1,mb,,50,13.581,0.71,"257 km SSE of R?zole, India",earthquake,10,1.7,0.051,122
2021-08-10T08:12:46.310Z,30.2767,78.1005,10,3.6,mb,,291,8.756,0.93,"3 km SSE of R?ipur, India",earthquake,11.4,2,0.287,3
2021-07-25T15:09:21.630Z,27.3429,88.3092,10,4.5,mb,,79,3.417,0.69,"7 km NE of Gyalshing, India",earthquake,4.9,1.9,0.068,65
2021-07-21T04:01:45.956Z,34.0777,78.4395,10,4.3,mb,,171,4.323,0.83,"79 km E of Leh, India",earthquake,10.2,2,0.189,8
2021-07-05T17:06:55.336Z,28.9016,76.839,10,3.9,mb,,199,5.634,1.28,"7 km WNW of Kharkhauda, India",earthquake,6.1,2,0.143,13
2021-06-29T19:24:35.052Z,34.6873,77.9908,10,3.7,mb,,183,4.049,0.91,"68 km NNE of Leh, India",earthquake,7.5,1.9,0.224,5
2021-06-28T00:40:35.259Z,34.2781,78.2208,10,4.8,mb,,78,6.763,0.97,"60 km ENE of Leh, India",earthquake,7.7,1.9,0.052,115
2021-06-12T18:31:28.860Z,21.0204,85.0848,10,3.9,mb,,228,7.084,0.78,"17 km WNW of T?lcher, India",earthquake,6,2,0.257,4
2021-05-23T19:01:39.963Z,30.8764,79.2707,10,4.5,mb,,81,5.787,0.57,"45 km NW of Josh?math, India",earthquake,7.4,1.8,0.094,33
2021-05-16T22:07:22.008Z,20.6607,71.4793,10,4.1,mb,,73,13.037,0.99,"41 km S of R?jula, India",earthquake,6.9,1.9,0.114,21
2021-04-15T22:26:24.010Z,32.4789,78.7499,10,4.6,mb,,51,4.748,0.79,"140 km NE of Sar?han, India",earthquake,7.7,1.8,0.051,117
2021-04-06T01:36:55.618Z,26.8176,88.7828,10,3.9,mb,,164,2.088,0.56,"15 km E of Odl?b?ri, India",earthquake,7.3,1.9,0.137,14
2021-03-04T17:57:31.975Z,34.1448,80.3638,10,4.7,mb,,105,5.92,0.82,"256 km E of Leh, India",earthquake,8.3,1.8,0.13,18
2021-02-09T01:50:07.207Z,28.0331,87.8568,35,4.3,mb,,146,4.336,0.65,"87 km NW of Mangan, India",earthquake,9.9,2,0.087,38
2021-02-03T14:29:49.946Z,34.26,78.2819,10,4.5,mb,,82,4.21,0.6,"65 km E of Leh, India",earthquake,7.4,1.8,0.076,52
2021-01-11T14:02:03.048Z,33.3042,75.5872,10,5.1,mb,,66,1.968,0.47,"16 km W of Kishtw?r, India",earthquake,6.2,1.5,0.051,127
2021-01-11T13:59:12.570Z,33.4274,75.7158,10,4.1,mb,,149,2.056,0.32,"13 km NNW of Kishtw?r, India",earthquake,8,1.8,0.157,12
2021-01-09T14:51:50.407Z,32.521,76.6552,22.64,4.5,mb,,152,3.058,0.72,"35 km W of Kyelang, India",earthquake,10,6.7,0.096,32
2020-12-17T18:16:48.782Z,28.5188,77.2852,10,3.8,mb,,189,8.421,0.81,"5 km ENE of Deoli, India",earthquake,13.9,2,0.18,8
2020-12-09T21:57:34.387Z,33.866,74.9266,10,4.2,mb,,145,1.397,0.88,"2 km ESE of Pulwama, India",earthquake,8.9,2,0.372,2
2020-11-21T20:15:03.902Z,22.1407,79.6342,10,4.3,mb,,123,8.71,0.57,"10 km NE of Seoni, India",earthquake,9.5,1.8,0.088,37
2020-11-07T10:09:22.561Z,21.5017,73.219,10,3.9,mb,,262,12.103,0.55,"27 km E of Kosamba, India",earthquake,10.3,2,0.17,9
2020-11-06T22:59:17.399Z,33.5339,75.7388,10,4.6,mb,,57,2.065,0.9,"24 km N of Kishtw?r, India",earthquake,4.3,1.8,0.108,26
2020-10-31T16:59:40.590Z,34.1948,78.1585,10,4.5,mb,,129,4.101,1.05,"53 km E of Leh, India",earthquake,7,1.9,0.113,23
2020-10-07T16:18:08.290Z,32.3518,80.5666,10,4.4,mb,,145,6.266,0.84,"220 km NNE of Josh?math, India",earthquake,9.5,1.9,0.115,22
2020-10-06T06:13:39.363Z,34.0992,79.1272,10,4.7,mb,,82,4.894,0.55,"142 km E of Leh, India",earthquake,7.2,1.8,0.07,64
2020-10-05T23:43:20.846Z,34.1788,79.2141,10,5,mww,,21,4.971,0.62,"150 km E of Leh, India",earthquake,6.3,1.7,0.086,13
2020-09-28T05:12:34.992Z,33.229,75.8586,10,4.6,mb,,80,2.206,0.71,"12 km SE of Kishtw?r, India",earthquake,6.4,1.6,0.093,35
2020-09-27T17:27:42.182Z,34.1448,78.1519,10,5,mww,,98,4.091,1.35,"52 km E of Leh, India",earthquake,7.2,1.9,0.093,11
2020-09-26T06:32:00.651Z,34.7214,74.4055,10,4.6,mb,,74,1.424,0.74,"40 km NNW of Bandipura, India",earthquake,6.3,1.9,0.087,44
2020-09-25T18:14:35.455Z,34.0161,78.1669,10,3.8,mb,,75,4.093,1.1,"56 km ESE of Leh, India",earthquake,4.8,1.9,0.142,16
2020-09-25T10:57:13.221Z,34.2487,78.2058,10,5.3,mww,,38,4.146,0.61,"58 km E of Leh, India",earthquake,6.4,1.8,0.073,18
2020-09-22T16:10:29.177Z,34.0837,74.7947,10,4.4,mb,,134,1.341,0.29,"1 km WSW of Srinagar, India",earthquake,5.9,2,0.309,3
2020-08-26T02:24:03.662Z,23.965,88.4834,10,4,mb,,195,3.174,0.63,"13 km W of Kar?mpur, India",earthquake,5.7,2,0.298,3
2020-07-29T20:54:26.858Z,28.4107,88.3259,10,4.1,mb,,113,1.41,1.24,"101 km N of Mangan, India",earthquake,8.9,1.9,0.13,16
2020-07-16T02:10:29.094Z,22.2558,70.9928,10,4.1,mb,,112,11.529,0.54,"20 km E of R?jkot, India",earthquake,13.7,2,0.151,12
2020-07-03T13:30:49.114Z,28.142,76.5366,30.38,4.3,mb,,169,6.166,0.74,"9 km NNW of B?wal, India",earthquake,10.2,5.6,0.116,21
2020-07-02T07:40:37.191Z,32.998,75.9509,10,4.6,mb,,145,2.338,0.82,"21 km E of Bhadarw?h, India",earthquake,10.2,1.9,0.122,20
2020-06-30T18:02:28.856Z,33.1193,75.8744,43.89,4.7,mb,,30,5.588,0.98,"21 km NE of Bhadarw?h, India",earthquake,7.1,6.3,0.043,172
2020-06-30T03:26:58.130Z,33.195,75.926,46.75,4.2,mb,,131,2.268,0.84,"19 km SE of Kishtw?r, India",earthquake,7.9,3.9,0.113,22
2020-06-15T07:27:35.084Z,22.9861,70.2272,10,3.8,mb,,193,11.56,0.96,"5 km SSE of K?ndla, India",earthquake,15.7,2,0.136,14
2020-06-14T14:43:08.390Z,23.3821,70.3548,10,5.1,mb,,40,11.178,0.74,"9 km N of Bhach?u, India",earthquake,8.9,1.8,0.036,255
2020-05-29T15:38:41.657Z,29.1724,77.0219,10,4.2,mb,,185,8.64,1.09,"Uttar Pradesh, India",earthquake,10.2,2,0.152,12
2020-05-28T08:05:58.316Z,32.5421,79.491,10,4.4,mb,,162,7.806,0.6,"196 km NE of Sar?han, India",earthquake,6.4,1.8,0.112,23
2020-05-10T08:15:27.178Z,28.7268,77.3516,10,3.7,mb,,203,9.149,0.52,"6 km ESE of Loni, India",earthquake,8.9,2,0.253,4
2020-05-09T10:06:46.736Z,22.1166,68.963,10,4.1,mb,,256,12.039,0.44,"13 km S of Dw?rka, India",earthquake,13.7,2,0.103,26
2020-04-12T12:15:02.191Z,28.8336,77.3589,10,3.8,mb,,185,5.942,0.75,"Haryana-Delhi-Uttar Pradesh region, India",earthquake,12.6,2,0.154,11
2020-04-08T05:53:57.175Z,23.4203,86.989,10,4,mb,,209,4.522,0.91,"22 km NNW of B?nkura, India",earthquake,8.1,2,0.232,5
2020-03-29T18:17:45.513Z,32.9731,76.4202,10,4.3,mb,,153,2.724,0.65,"53 km NNE of Chamba, India",earthquake,9.7,1.9,0.133,16
2020-03-27T11:46:58.989Z,32.697,76.144,10,4.5,mb,,114,2.592,0.75,"15 km N of Chamba, India",earthquake,3.7,1.9,0.083,42
2020-03-11T14:19:31.898Z,32.568,78.4627,10,4,mb,,139,4.49,1,"125 km ENE of Man?li, India",earthquake,5.9,2,0.156,11
2020-02-28T11:07:11.020Z,32.9646,76.3114,10,4.2,mb,,116,2.638,0.95,"48 km NNE of Chamba, India",earthquake,7.7,1.6,0.132,16
2020-02-26T15:04:08.953Z,32.9752,76.2474,10,5,mb,,37,2.583,0.85,"47 km NNE of Chamba, India",earthquake,4.7,1.7,0.041,189
2020-02-08T01:01:46.831Z,30.0278,79.9831,18.78,4.7,mb,,97,6.758,0.66,"29 km NE of B?geshwar, India",earthquake,8.9,4.4,0.063,76
2020-01-25T21:07:34.332Z,16.6775,79.8979,10,4.5,mb,,83,9.38,0.63,"32 km SW of Jaggayyapeta, India",earthquake,9.5,1.9,0.084,42
2020-01-12T05:23:56.526Z,35.0149,74.474,10,5.1,mb,,68,1.687,0.67,"68 km NNW of Bandipura, India",earthquake,4.4,1.4,0.036,244
2019-12-19T22:16:20.980Z,34.6953,79.7421,10,4.5,mb,,109,5.466,0.75,"206 km ENE of Leh, India",earthquake,8.7,1.9,0.093,34
2019-12-13T23:52:40.214Z,20.0829,73.1729,10,4.3,mb,,103,13.231,1.21,"19 km NNW of Jawh?r, India",earthquake,8.7,1.9,0.137,15
2019-11-27T00:18:32.422Z,28.1658,87.8728,64.65,4.4,mb,,105,0.96,0.58,"96 km NW of Mangan, India",earthquake,3,6.5,0.075,52
2019-11-18T13:31:08.384Z,23.5799,70.4585,10,4.6,mb,,109,10.332,0.68,"19 km W of R?par, India",earthquake,9.5,1.7,0.125,19
2019-11-12T02:00:26.426Z,30.0659,80.2927,10,4.3,mb,,94,6.082,0.51,"32 km NW of Dh?rchula, India",earthquake,8.7,1.9,0.113,22
2019-10-13T05:06:33.866Z,28.1573,73.1834,14.98,4,mb,,146,5.476,0.56,"20 km NW of B?kaner, India",earthquake,6.9,6.5,0.183,8
2019-09-09T06:40:33.517Z,32.9804,76.181,43.93,4.9,mb,,61,2.528,0.6,"43 km E of Bhadarw?h, India",earthquake,8,6.7,0.042,177
2019-09-08T02:34:32.435Z,33.0736,76.1758,10,4.8,mb,,107,2.5,0.74,"44 km ENE of Bhadarw?h, India",earthquake,4.3,1.8,0.066,70
2019-07-29T03:33:52.069Z,32.8856,76.7183,10,4.4,mb,,164,2.989,0.93,"45 km NW of Kyelang, India",earthquake,8.6,1.8,0.085,40
2019-07-28T21:25:03.314Z,22.5443,86.4405,10,4.5,mb,,182,4.808,0.86,"4 km NNW of Mush?bani, India",earthquake,6.4,1.9,0.118,21
2019-07-24T19:33:09.919Z,19.578,72.508,10,4.1,mb,,158,12.746,1.39,"25 km WSW of Shirgaon, India",earthquake,12.5,2,0.145,13
2019-07-24T19:17:11.840Z,32.7286,76.3907,10,4.2,mb,,169,2.774,0.84,"31 km NE of Chamba, India",earthquake,12,1.9,0.214,6
2019-06-20T02:17:06.749Z,17.1576,73.7769,10,4.3,mb,,48,11.927,0.75,"26 km S of Koynanagar, India",earthquake,9.5,1.6,0.1,28
2019-06-05T17:01:12.400Z,24.537,72.7357,10,4,mb,,112,9.093,0.84,"6 km SSE of ?bu, India",earthquake,5.4,2,0.111,22
2019-05-26T05:09:10.629Z,23.2123,86.8925,10,4.7,mb,,99,6.208,0.66,"18 km W of B?nkura, India",earthquake,6.5,1.9,0.066,69
2019-03-16T23:41:28.160Z,27.4854,76.867,10,4,mb,,98,6.883,0.74,"13 km W of Govindgarh, India",earthquake,12.1,1,0.119,19
2019-03-01T05:44:26.440Z,20.2344,72.8943,10,4,mb,,162,13.368,1.11,"11 km WSW of Silvassa, India",earthquake,9.8,1.8,0.119,19
2019-02-20T02:29:34.520Z,29.3387,77.3166,10,4,mb,,198,5.515,0.61,"4 km ENE of K?ndhla, India",earthquake,12.9,2,0.26,4
2019-02-17T22:53:30.280Z,33.4367,76.7294,23.88,4.5,mb,,83,2.898,0.74,"14 km WSW of Padam, India",earthquake,7.9,5.9,0.1,29
2019-02-05T21:11:27.890Z,35.0109,74.2087,10,4,mb,,89,1.564,1.35,"76 km NNW of Bandipura, India",earthquake,7,1.9,0.129,16
2019-02-05T16:47:06.750Z,35.103,74.1694,20.67,5.2,mww,,19,1.629,0.85,"87 km NNW of Bandipura, India",earthquake,6.6,3.6,0.059,28
2019-01-10T02:52:04.640Z,34.3645,78.2373,34.51,4.6,mb,,86,4.188,0.65,"64 km ENE of Leh, India",earthquake,8.2,5.1,0.114,23
2019-01-06T23:10:42.200Z,34.2031,78.0505,10,4.3,mb,,148,6.159,1.14,"43 km E of Leh, India",earthquake,10.4,2,0.16,11
2018-10-29T16:02:48.200Z,34.0313,77.9427,10,4.1,mb,,140,3.908,0.61,"36 km ESE of Leh, India",earthquake,8.4,2,0.521,4
2018-10-29T14:56:47.190Z,34.3492,78.1903,10,4.5,mb,,135,4.147,0.63,"59 km ENE of Leh, India",earthquake,8.7,1.9,0.15,16
2018-10-29T14:43:35.790Z,34.2342,78.1243,10,4.9,mww,,42,4.078,0.77,"50 km E of Leh, India",earthquake,6.6,1.7,0.083,14
2018-10-29T06:27:55.360Z,34.2929,78.0838,10,4.6,mb,,117,4.052,0.74,"48 km ENE of Leh, India",earthquake,7.8,1.9,0.129,18
2018-09-27T21:13:19.900Z,34.2169,80.6903,10,5,mww,,29,6.194,0.66,"286 km E of Leh, India",earthquake,6.9,1.8,0.11,8
2018-09-11T12:05:41.830Z,33.6364,76.2087,35,4.4,mb,,95,2.452,0.95,"54 km NE of Kishtw?r, India",earthquake,9.5,2,0.085,40
2018-09-10T00:58:05.880Z,28.8193,76.8395,10,3.6,mb,,217,5.704,0.89,"7 km NE of Kheri S?mpla, India",earthquake,13.1,2,0.166,9
2018-09-09T11:07:02.910Z,28.6531,76.8101,10,4.6,mb,,95,8.843,1.05,"13 km WSW of Bah?durgarh, India",earthquake,6.5,1.9,0.182,9
2018-09-01T18:09:55.250Z,23.4903,82.446,10,4.7,mb,,78,9.928,0.97,"27 km NNW of Baikunthpur, India",earthquake,9.2,1.9,0.061,81
